 X,Z, RADIATION LOSS, INTEGRATED INTENSITY, TEMPERATURE, TEMPERATURE, U-VELOCITY, V-VELOCITY, W-VELOCITY
 m,m, kW/m3, kW/m2, C, C, m/s, m/s, m/s
 0.20000E+00, 0.50000E-01, 0.25013E+01, 0.24771E+02, 0.23285E+02, 0.23788E+02,-0.13044E+00,-0.32694E-02, 0.45739E-01
 0.25000E+00, 0.50000E-01, 0.25499E+01, 0.25213E+02, 0.23034E+02, 0.23382E+02,-0.13720E+00,-0.20371E-01, 0.10630E-01
 0.30000E+00, 0.50000E-01, 0.25817E+01, 0.25496E+02, 0.22616E+02, 0.22821E+02,-0.18108E+00,-0.38618E-02,-0.51461E-02
 0.35000E+00, 0.50000E-01, 0.25806E+01, 0.25478E+02, 0.22291E+02, 0.22370E+02,-0.24708E+00,-0.90236E-02,-0.21299E-02
 0.40000E+00, 0.50000E-01, 0.21609E+01, 0.21607E+02, 0.21953E+02, 0.22099E+02,-0.28380E+00,-0.28457E-01, 0.54827E-02
 0.45000E+00, 0.50000E-01, 0.19407E+01, 0.19574E+02, 0.21640E+02, 0.21894E+02,-0.32549E+00,-0.24156E-01,-0.63857E-03
 0.50000E+00, 0.50000E-01, 0.16970E+01, 0.17326E+02, 0.21431E+02, 0.21760E+02,-0.35531E+00,-0.14156E-01,-0.22747E-01
 0.55000E+00, 0.50000E-01, 0.14360E+01, 0.14920E+02, 0.21246E+02, 0.21628E+02,-0.33873E+00,-0.24283E-01,-0.30920E-01
 0.60000E+00, 0.50000E-01, 0.12148E+01, 0.12880E+02, 0.21074E+02, 0.21518E+02,-0.34599E+00,-0.26437E-01,-0.30990E-01
 0.65000E+00, 0.50000E-01, 0.10378E+01, 0.11248E+02, 0.20950E+02, 0.21349E+02,-0.30283E+00,-0.35622E-01,-0.48259E-01
 0.70000E+00, 0.50000E-01, 0.89311E+00, 0.99140E+01, 0.20829E+02, 0.21171E+02,-0.30587E+00,-0.27410E-01,-0.64066E-01
 0.75000E+00, 0.50000E-01, 0.77245E+00, 0.88013E+01, 0.20733E+02, 0.20917E+02,-0.23922E+00,-0.30089E-01,-0.62590E-01
 0.80000E+00, 0.50000E-01, 0.67602E+00, 0.79113E+01, 0.20619E+02, 0.20606E+02,-0.22839E+00,-0.31049E-01,-0.70417E-01
 0.85000E+00, 0.50000E-01, 0.61058E+00, 0.73066E+01, 0.20513E+02, 0.20469E+02,-0.18183E+00,-0.60716E-01,-0.49019E-01
 0.90000E+00, 0.50000E-01, 0.58057E+00, 0.70274E+01, 0.20386E+02, 0.20333E+02,-0.14725E+00,-0.90707E-01,-0.32899E-01
 0.95000E+00, 0.50000E-01, 0.57269E+00, 0.69517E+01, 0.20245E+02, 0.20177E+02,-0.13994E+00,-0.10395E+00, 0.11878E-02
 0.10000E+01, 0.50000E-01, 0.56469E+00, 0.68744E+01, 0.20086E+02, 0.20093E+02,-0.13209E+00,-0.15063E+00, 0.62694E-01
-0.10000E+01, 0.10000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20094E+02, 0.17848E+00,-0.11965E+00,-0.61999E-01
-0.95000E+00, 0.10000E+00, 0.73561E+00, 0.84476E+01, 0.20088E+02, 0.20178E+02, 0.20139E+00,-0.61531E-01,-0.57171E-01
-0.90000E+00, 0.10000E+00, 0.73664E+00, 0.84603E+01, 0.20231E+02, 0.20330E+02, 0.18449E+00,-0.40261E-01,-0.67022E-01
-0.85000E+00, 0.10000E+00, 0.73127E+00, 0.84133E+01, 0.20339E+02, 0.20592E+02, 0.23553E+00,-0.56577E-01,-0.31634E-01
-0.80000E+00, 0.10000E+00, 0.74539E+00, 0.85483E+01, 0.20575E+02, 0.21033E+02, 0.22893E+00,-0.17638E-01,-0.50140E-01
-0.75000E+00, 0.10000E+00, 0.80695E+00, 0.91189E+01, 0.20772E+02, 0.21761E+02, 0.25315E+00, 0.22459E-02,-0.35716E-01
-0.70000E+00, 0.10000E+00, 0.91121E+00, 0.10087E+02, 0.21213E+02, 0.22583E+02, 0.28079E+00, 0.25858E-01,-0.23365E-01
-0.65000E+00, 0.10000E+00, 0.10471E+01, 0.11354E+02, 0.22167E+02, 0.23438E+02, 0.29552E+00, 0.21534E-01, 0.85650E-02
-0.60000E+00, 0.10000E+00, 0.12141E+01, 0.12893E+02, 0.22376E+02, 0.23824E+02, 0.33961E+00,-0.55721E-02, 0.37847E-01
-0.55000E+00, 0.10000E+00, 0.14142E+01, 0.14734E+02, 0.22405E+02, 0.23564E+02, 0.32288E+00,-0.15274E-01, 0.76564E-01
-0.50000E+00, 0.10000E+00, 0.16498E+01, 0.16899E+02, 0.22160E+02, 0.23158E+02, 0.37414E+00,-0.26268E-01, 0.10124E+00
-0.45000E+00, 0.10000E+00, 0.19078E+01, 0.19274E+02, 0.22040E+02, 0.22821E+02, 0.31771E+00,-0.48728E-01, 0.12320E+00
-0.40000E+00, 0.10000E+00, 0.21477E+01, 0.21486E+02, 0.22082E+02, 0.22703E+02, 0.35968E+00,-0.62968E-01, 0.17050E+00
-0.35000E+00, 0.10000E+00, 0.22800E+01, 0.22709E+02, 0.22263E+02, 0.22830E+02, 0.23290E+00,-0.76189E-01, 0.12601E+00
-0.30000E+00, 0.10000E+00, 0.29072E+01, 0.28491E+02, 0.22709E+02, 0.23437E+02, 0.20458E+00,-0.56974E-01, 0.13548E+00
